Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;78;78;0;1;1.0;0.9873417721518988;0.9936305732484078

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
physical_BD;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
thickness;WRONG;WRONG;WRONG;WRONG;OK;WRONG;OK;OK;OK
rocks;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
physical_ParticleSizeSand;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
physical_ParticleSizeSilt;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
physical_ParticleSizeClay;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
carbon;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
waterBalance_SW;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
DepthToConstantTemperature;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
MissingValue;OK;OK;OK;OK;OK;OK;WRONG;WRONG;OK
bareSoilRoughness;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
defaultInstrumentHeight;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
weather_Latitude;WRONG;WRONG;OK;OK;WRONG;WRONG;OK;OK;OK
weather_Tav;OK;OK;OK;OK;OK;OK;OK;OK;OK
weather_Amp;OK;OK;OK;OK;OK;WRONG;OK;OK;OK
clock_Today_DayOfYear;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
topsoilNode;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
surfaceNode;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
numPhantomNodes;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
airNode;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
pInitialValues;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
nodeDepth;OK;OK;WRONG;WRONG;OK;WRONG;OK;WRONG;OK
thermCondPar1;OK;OK;WRONG;WRONG;OK;OK;OK;WRONG;OK
thermCondPar2;OK;OK;WRONG;WRONG;OK;OK;OK;WRONG;OK
thermCondPar3;OK;OK;WRONG;WRONG;OK;OK;OK;WRONG;OK
thermCondPar4;OK;OK;WRONG;WRONG;OK;OK;OK;WRONG;OK
soilRoughnessHeight;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
instrumHeight;WRONG;WRONG;OK;OK;OK;WRONG;WRONG;WRONG;OK
weather_MinT;OK;OK;OK;OK;OK;OK;OK;OK;OK
weather_MaxT;OK;OK;OK;OK;OK;OK;OK;OK;OK
weather_MeanT;OK;OK;OK;OK;OK;OK;OK;OK;OK
weather_AirPressure;OK;OK;OK;OK;OK;OK;OK;OK;OK
weather_Wind;OK;OK;OK;OK;OK;WRONG;OK;OK;OK
weather_Radn;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
canopyHeight;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
waterBalance_Eos;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
waterBalance_Eo;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
waterBalance_Es;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
waterBalance_Salb;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
timestep;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
numIterationsForBoundaryLayerConductance;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
defaultTimeOfMaximumTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
constantBoundaryLayerConductance;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
stefanBoltzmannConstant;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
boundarLayerConductanceSource;OK;OK;WRONG;OK;OK;OK;OK;WRONG;OK
netRadiationSource;OK;OK;WRONG;OK;OK;OK;OK;WRONG;OK
latentHeatOfVapourisation;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
soilConstituentNames;OK;OK;WRONG;WRONG;OK;OK;WRONG;WRONG;OK
nu;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
ps;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
pom;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
bulkDensity;WRONG;WRONG;WRONG;WRONG;OK;WRONG;OK;WRONG;OK
sand;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
silt;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
clay;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;OK;OK
InitialValues;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
doInitialisationStuff;OK;OK;WRONG;OK;OK;OK;WRONG;WRONG;OK
internalTimeStep;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
numNodes;WRONG;WRONG;OK;OK;OK;WRONG;WRONG;WRONG;OK
