Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;79;79;0;0;1.0;1.0;1.0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
weather_MinT;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
weather_MaxT;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
weather_MeanT;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
weather_Tav;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
weather_Amp;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
weather_AirPressure;OK;OK;OK;OK;OK;OK;OK;OK;OK
weather_Wind;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
weather_Latitude;OK;OK;OK;OK;WRONG;WRONG;OK;OK;OK
weather_Radn;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
clock_Today_DayOfYear;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
canopyHeight;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
thickness;OK;OK;OK;WRONG;OK;WRONG;OK;OK;OK
physical_BD;OK;OK;OK;WRONG;OK;WRONG;OK;WRONG;OK
ps;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
rocks;OK;OK;OK;WRONG;WRONG;WRONG;OK;OK;OK
physical_ParticleSizeSand;WRONG;WRONG;OK;WRONG;WRONG;WRONG;OK;OK;OK
physical_ParticleSizeSilt;WRONG;WRONG;OK;WRONG;WRONG;WRONG;OK;OK;OK
physical_ParticleSizeClay;WRONG;WRONG;OK;WRONG;WRONG;WRONG;OK;OK;OK
carbon;OK;OK;OK;WRONG;WRONG;WRONG;OK;OK;OK
waterBalance_SW;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG;OK
waterBalance_Eos;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
waterBalance_Eo;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
waterBalance_Es;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
waterBalance_Salb;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
InitialValues;OK;OK;OK;WRONG;OK;OK;WRONG;WRONG;OK
pInitialValues;OK;OK;OK;WRONG;OK;OK;WRONG;WRONG;OK
DepthToConstantTemperature;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
timestep;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
latentHeatOfVapourisation;OK;OK;OK;OK;OK;OK;WRONG;WRONG;OK
stefanBoltzmannConstant;OK;OK;OK;OK;OK;OK;WRONG;WRONG;OK
airNode;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
surfaceNode;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
topsoilNode;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
numPhantomNodes;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
constantBoundaryLayerConductance;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
numIterationsForBoundaryLayerConductance;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
defaultTimeOfMaximumTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
defaultInstrumentHeight;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
bareSoilRoughness;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;OK
internalTimeStep;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
numNodes;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
numLayers;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
nodeDepth;WRONG;WRONG;OK;WRONG;OK;WRONG;OK;WRONG;OK
thermCondPar1;WRONG;WRONG;OK;WRONG;OK;OK;OK;WRONG;OK
thermCondPar2;WRONG;WRONG;OK;WRONG;OK;OK;OK;WRONG;OK
thermCondPar3;WRONG;WRONG;OK;WRONG;OK;OK;OK;WRONG;OK
thermCondPar4;WRONG;WRONG;OK;WRONG;OK;OK;OK;WRONG;OK
volSpecHeatSoil;OK;OK;OK;WRONG;OK;WRONG;OK;WRONG;OK
