Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;78;78;0;1;1.0;0.9873417721518988;0.9936305732484078

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
weather_MinT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_MaxT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_MeanT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_Tav;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_Amp;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_Radn;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
clock_Today_DayOfYear;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
rocks;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
physical_ParticleSizeSand;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
physical_ParticleSizeSilt;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
physical_ParticleSizeClay;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
carbon;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
waterBalance_SW;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
waterBalance_Salb;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
thickness;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
physical_BD;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
weather_Latitude;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
defaultInstrumentHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
bareSoilRoughness;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
pInitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
instrumHeight;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
nodeDepth;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar1;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar2;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar3;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar4;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
soilRoughnessHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
topsoilNode;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
surfaceNode;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
airNode;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
numPhantomNodes;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
DepthToConstantTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
MissingValue;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_AirPressure;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
weather_Wind;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
canopyHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
waterBalance_Eos;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
waterBalance_Eo;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
waterBalance_Es;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
InitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG
internalTimeStep;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
numNodes;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
numLayers;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
volSpecHeatSoil;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
soilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
morningSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
heatStorage;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermalConductance;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermalConductivity;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
boundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
newTemperature;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
airTemperature;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
minSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
maxSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
aveSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
aveSoilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
bulkDensity;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
sand;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
silt;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
clay;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
netRadiation;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
ps;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
pom;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
constantBoundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
numIterationsForBoundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
defaultTimeOfMaximumTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
timestep;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
latentHeatOfVapourisation;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
stefanBoltzmannConstant;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
boundarLayerConductanceSource;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
netRadiationSource;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
soilConstituentNames;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype
nu;parameter;;DOUBLE


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
22;33;22;11;0;0.6666666666666666;1.0;0.8

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
InitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
internalTimeStep;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
volSpecHeatSoil;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
