Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;62;62;0;17;1.0;0.7848101265822784;0.8794326241134751

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
thickness;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;OK;OK
physical_BD;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
rocks;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
physical_ParticleSizeSand;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
physical_ParticleSizeSilt;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
physical_ParticleSizeClay;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
carbon;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
waterBalance_SW;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
waterBalance_Salb;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
waterBalance_Eo;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
waterBalance_Eos;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
waterBalance_Es;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
canopyHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
weather_Tav;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
weather_Amp;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
weather_Latitude;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;OK;OK
clock_Today_DayOfYear;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
instrumHeight;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
InitialValues;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK
DepthToConstantTemperature;OK;OK;OK;OK;WRONG;WRONG;OK;OK;OK
weather_MeanT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
weather_MaxT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
weather_MinT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
weather_AirPressure;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;OK
weather_Radn;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
weather_Wind;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
numLayers;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
numNodes;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
nodeDepth;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
bulkDensity;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
sand;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
silt;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
clay;WRONG;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
soilWater;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
volSpecHeatSoil;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
thermalConductivity;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
thermalConductance;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
heatStorage;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
soilTemp;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
newTemperature;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
morningSoilTemp;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
minSoilTemp;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
maxSoilTemp;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
aveSoilTemp;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK
boundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
airTemperature;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
netRadiation;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;OK
internalTimeStep;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
soilRoughnessHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;OK
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
nu;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
ps;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
pom;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
soilConstituentNames;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK
timestep;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
defaultTimeOfMaximumTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
boundarLayerConductanceSource;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;OK
netRadiationSource;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;OK

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype
pInitialValues;parameter;;DOUBLEARRAY
latentHeatOfVapourisation;parameter;;DOUBLE
stefanBoltzmannConstant;parameter;;DOUBLE
airNode;parameter;;INT
surfaceNode;parameter;;INT
topsoilNode;parameter;;INT
numPhantomNodes;parameter;;INT
constantBoundaryLayerConductance;parameter;;DOUBLE
numIterationsForBoundaryLayerConductance;parameter;;INT
defaultInstrumentHeight;parameter;;DOUBLE
